#       time              Source                xMom
   0.0000000    0.0000000000e+00    0.0000000000e+00
#       time              Source                xMom
   0.0000000    0.0000000000e+00    0.0000000000e+00
   3.2000000   -1.7632987209e+00    5.3868572634e+00
   6.4000000   -2.7273652755e+00    1.5634405096e+01
   9.6000000   -4.1235900747e+00    3.3960924892e+01
  12.8000000   -4.1904988185e+00    5.4736824317e+01
  16.0000000   -3.7632149962e+00    7.8479662774e+01
  19.2000000   -2.6361515770e+00    1.0195945449e+02
  22.4000000   -6.7620846951e-01    1.2547081339e+02
  25.6000000    1.7360204402e+00    1.4655608187e+02
  28.8000000    4.2397776495e+00    1.6761634566e+02
  32.0000000    6.9711827763e+00    1.8436136881e+02
  35.2000000    9.2943551139e+00    2.0131093260e+02
  38.4000000    1.1566039634e+01    2.1582178975e+02
  41.6000000    1.2994199731e+01    2.3102290367e+02
  44.8000000    1.4410747682e+01    2.4371352629e+02
  48.0000000    1.5111127633e+01    2.5739107764e+02
  51.2000000    1.5617174916e+01    2.7012046683e+02
  54.4000000    1.5840421719e+01    2.8448735391e+02
  57.6000000    1.5794398069e+01    2.9990740187e+02
  60.8000000    1.5827722226e+01    3.1830972077e+02
  64.0000000    1.5708135494e+01    3.3887714206e+02
  67.2000000    1.5782933312e+01    3.6322645331e+02
  70.4000000    1.5843901756e+01    3.9026696300e+02
  73.6000000    1.6025146654e+01    4.2153767954e+02
  76.8000000    1.6236739693e+01    4.5546613453e+02
  80.0000000    1.6431282181e+01    4.9303564479e+02
  83.2000000    1.6701962288e+01    5.3242315411e+02
  86.4000000    1.6842514267e+01    5.7402390137e+02
  89.6000000    1.7082737786e+01    6.1615717799e+02
  92.8000000    1.7249107989e+01    6.5882210810e+02
  96.0000000    1.7437932039e+01    7.0104818277e+02
  99.2000000    1.7728251226e+01    7.4270772874e+02
 102.4000000    1.7940541203e+01    7.8392896105e+02
 105.6000000    1.8315278270e+01    8.2504350124e+02
 108.8000000    1.8580996430e+01    8.6695676152e+02
 112.0000000    1.8893044507e+01    9.1065313748e+02
 115.2000000    1.9103452814e+01    9.5735014452e+02
 118.4000000    1.9197480626e+01    1.0081653428e+03
 121.6000000    1.9183501845e+01    1.0642440634e+03
 124.8000000    1.8974998959e+01    1.1260269534e+03
 128.0000000    1.8681788604e+01    1.1942492446e+03
 131.2000000    1.8227642171e+01    1.2681451086e+03
 134.4000000    1.7785503280e+01    1.3479315219e+03
 137.6000000    1.7315301474e+01    1.4316531814e+03
 140.8000000    1.6964255972e+01    1.5193221841e+03
 144.0000000    1.6779804291e+01    1.6082451623e+03
 147.2000000    1.6748056812e+01    1.6988294220e+03
 150.4000000    1.7026797553e+01    1.7883852859e+03
 153.6000000    1.7411438299e+01    1.8781731039e+03
 156.8000000    1.8080036667e+01    1.9662216450e+03
 160.0000000    1.8765389586e+01    2.0547231093e+03
 163.2000000    1.9543167318e+01    2.1426365414e+03
 166.4000000    2.0227868896e+01    2.2328555673e+03
 169.6000000    2.0782330149e+01    2.3248064798e+03
 172.8000000    2.1143156123e+01    2.4216521192e+03
 176.0000000    2.1252346208e+01    2.5224761314e+03
 179.2000000    2.1144799882e+01    2.6301888742e+03
 182.4000000    2.0807619111e+01    2.7428951108e+03
 185.6000000    2.0351144716e+01    2.8628846236e+03
 188.8000000    1.9805320492e+01    2.9871177882e+03
 192.0000000    1.9304863504e+01    3.1173171202e+03
 195.2000000    1.8916417105e+01    3.2496167990e+03
 198.4000000    1.8694767016e+01    3.3856375357e+03
 201.6000000    1.8753402540e+01    3.5213585445e+03
 204.8000000    1.8990726942e+01    3.6588520403e+03
 208.0000000    1.9538480862e+01    3.7946941759e+03
 211.2000000    2.0179126306e+01    3.9317142237e+03
 214.4000000    2.0990102043e+01    4.0675230566e+03
 217.6000000    2.1757668574e+01    4.2056520123e+03
 220.8000000    2.2470651205e+01    4.3445910601e+03
 224.0000000    2.3006341075e+01    4.4882189826e+03
 227.2000000    2.3314668613e+01    4.6352561734e+03
 230.4000000    2.3378678557e+01    4.7894001200e+03
 233.6000000    2.3178567482e+01    4.9488753405e+03
 236.8000000    2.2788516219e+01    5.1167005422e+03
 240.0000000    2.2231795858e+01    5.2901977097e+03
 243.2000000    2.1646980935e+01    5.4715133996e+03
 246.4000000    2.1074055845e+01    5.6571334491e+03
 249.6000000    2.0646658239e+01    5.8485862903e+03
 252.8000000    2.0413514732e+01    6.0419996910e+03
 256.0000000    2.0405774676e+01    6.2388254444e+03
 259.2000000    2.0687761893e+01    6.4355273650e+03
 262.4000000    2.1146028901e+01    6.6339593033e+03
 265.6000000    2.1838973662e+01    6.8315234587e+03
 268.8000000    2.2570750864e+01    7.0306307603e+03
 272.0000000    2.3353514428e+01    7.2298080731e+03
 275.2000000    2.4018733769e+01    7.4318210677e+03
 278.4000000    2.4531066164e+01    7.6359712835e+03
 281.6000000    2.4817758807e+01    7.8449383330e+03
 284.8000000    2.4844165635e+01    8.0581297579e+03
 288.0000000    2.4641725798e+01    8.2776390704e+03
 291.2000000    2.4213006685e+01    8.5023979120e+03
 294.4000000    2.3676251883e+01    8.7335795282e+03
 297.6000000    2.3054002404e+01    8.9694436323e+03
 300.8000000    2.2514786240e+01    9.2102800978e+03
 304.0000000    2.2066233469e+01    9.4539150965e+03
 307.2000000    2.1852056887e+01    9.7001814984e+03
 310.4000000    2.1863306764e+01    9.9470077615e+03
 313.6000000    2.2131723080e+01    1.0194339113e+04
 316.8000000    2.2652003299e+01    1.0440811867e+04
 320.0000000    2.3319066153e+01    1.0686849809e+04
 323.2000000    2.4131152675e+01    1.0932195743e+04
 326.4000000    2.4914591910e+01    1.1177727237e+04
 329.6000000    2.5654128536e+01    1.1424257286e+04
 332.8000000    2.6209938864e+01    1.1672757798e+04
 336.0000000    2.6559325944e+01    1.1924632398e+04
 339.2000000    2.6656055063e+01    1.2180447088e+04
 342.4000000    2.6500703380e+01    1.2441544139e+04
 345.6000000    2.6144597231e+01    1.2707659079e+04
